,LN_ID,TARGET,contract_type_ord,gender_ord,num_of_children_ord,INCOME,APPROVED_CREDIT,ANNUITY,PRICE,income_type_ord,education_ord,family_status_ord,housing_type_ord,DAYS_AGE,DAYS_WORK,DAYS_REGISTRATION,DAYS_ID_CHANGE,weekdays_apply_ord,HOUR_APPLY,organization_type_ord,EXT_SCORE_1,EXT_SCORE_2,EXT_SCORE_3,SK_ID_PREV,INST_NUMBER,INST_DAYS,PAY_DAYS,AMT_INST,AMT_PAY,contract_type_prevapp_ord,ANNUITY_PREV_APP,APPLICATION,APPROVED_CREDIT_PREV_APP,AMT_DOWN_PAYMENT,PRICE_PREV_APP,weekdays_apply_prevapp_ord,hour_apply_prevapp_ord,DAYS_DECISION,term_payment_ord,yield_group_ord,FIRST_DRAW,FIRST_DUE,TERMINATION,NFLAG_INSURED_ON_APPROVAL
34,101378,0,1,2,1.0,67500.0,135000.0,14305.5,135000.0,2.0,1,2,1,-15312,-2420,-3590,-4233,3,8,5,0.5492291625807495,0.5479193021733637,0.7503751495159068,1133646.0,2.0,-96.0,-101.0,42552.81,42552.81,3.0,14541705.0,99000.0,80541.0,22500.0,99000.0,7.0,5,-157.0,2,3.0,365243.0,-126.0,-94.0,0.0
38,145859,0,1,2,1.0,157500.0,1288350.0,33984.0,1125000.0,3.0,2,1,1,-22515,365243,-11150,-4843,1,14,6,0.8451949613836083,0.6101240661911431,0.5495965024956946,1128273.0,4.0,-2645.0,-2645.0,7387785.0,7387785.0,3.0,7387785.0,72814.14,36810.0,36004.14,72814.14,6.0,4,-2767.0,2,3.0,365243.0,-2735.0,-2605.0,0.0
42,124716,0,2,1,3.0,202500.0,675000.0,33750.0,675000.0,4.0,2,1,5,-10658,-1585,-169,-3227,3,7,7,0.20885551168451327,0.5887048854270885,0.5100895276257282,2769694.0,10.0,-1028.0,-1051.0,19735785.0,19735785.0,3.0,19775.52,197775.0,177997.5,19777.5,197775.0,7.0,0,-1333.0,8,3.0,365243.0,-1298.0,-1025.0,0.0
53,156115,0,1,2,2.0,90000.0,314100.0,21375.0,225000.0,1.0,1,1,3,-10795,-2860,-1018,-847,1,11,8,0.2009060915306425,0.2782680049463417,0.5673792367572691,1334434.0,3.0,-1146.0,-1155.0,6551145.0,6551145.0,3.0,6551145.0,31896.0,33475.5,0.0,31896.0,7.0,7,-1240.0,2,2.0,365243.0,-1206.0,-1051.0,0.0
56,162828,0,1,1,2.0,135000.0,263686.5,27819.0,238500.0,1.0,2,1,1,-11425,-1206,-6117,-3712,4,6,4,0.2924095547105835,0.4104624349590846,0.3656165070113335,1157964.0,2.0,-2366.0,-2404.0,17977995.0,17977995.0,3.0,17977995.0,141534.0,154053.0,0.0,141534.0,6.0,7,-2427.0,5,2.0,365243.0,-2396.0,-2272.0,1.0
58,215540,0,1,2,1.0,144000.0,781920.0,34573.5,675000.0,3.0,1,1,1,-20646,365243,-5537,-2204,4,10,6,0.4823488134352241,0.4132539491099344,0.6940926425266661,2360999.0,3.0,-421.0,-427.0,4184.73,4184.73,3.0,4184.73,41391.0,35599.5,9000.0,41391.0,3.0,8,-512.0,8,1.0,365243.0,-481.0,-207.0,0.0
61,264479,0,1,2,1.0,292500.0,686749.5,24795.0,567000.0,2.0,3,2,1,-16753,-484,-6891,-272,1,14,3,0.6210250496140781,0.6983008594115157,0.5691487713619409,1084046.0,7.0,-1876.0,-1879.0,6232095.0,6232095.0,3.0,6232095.0,92227.5,51124.5,45000.0,92227.5,7.0,4,-2087.0,8,1.0,365243.0,-2056.0,-1779.0,0.0
65,179839,0,1,2,1.0,54000.0,360000.0,17446.5,360000.0,3.0,1,1,1,-21338,365243,-9914,-4891,7,6,6,0.8945151563664646,0.6940595248085438,0.7688075728291359,2800620.0,4.0,-145.0,-165.0,322607385.0,322607385.0,3.0,18831.78,351000.0,351000.0,0.0,351000.0,5.0,3,-268.0,4,3.0,365243.0,-235.0,-140.0,0.0
67,158353,1,2,2,2.0,112500.0,180000.0,9000.0,180000.0,3.0,2,2,1,-17841,365243,-6327,-1397,1,14,6,0.4330241746177495,0.28982025137258044,0.6610235391308081,1846747.0,5.0,-1628.0,-1651.0,2474775.0,2474775.0,3.0,2474775.0,24750.0,22275.0,2475.0,24750.0,4.0,5,-1782.0,8,3.0,365243.0,-1748.0,-1471.0,0.0
70,279613,0,1,2,2.0,90000.0,396171.0,21492.0,342000.0,4.0,1,1,2,-9288,-1147,-7988,-987,3,12,2,0.18597591325667154,0.24725342031088385,0.4436153084085652,1184901.0,5.0,-103.0,-103.0,2881755.0,2881755.0,3.0,2881755.0,63967.5,63967.5,0.0,63967.5,7.0,8,-255.0,4,4.0,365243.0,-223.0,365243.0,0.0
74,209229,0,1,2,1.0,81000.0,253737.0,14296.5,229500.0,4.0,1,4,1,-20186,-7925,-4739,-3625,2,10,9,0.753268933757025,0.7214011257029428,0.5744466170995097,1652044.0,8.0,-2228.0,-2255.0,3410.64,3410.64,3.0,3410.64,34110.0,30699.0,3411.0,34110.0,4.0,4,-2483.0,8,3.0,365243.0,-2438.0,-1129.0,0.0
78,272028,0,1,1,1.0,405000.0,932643.0,27400.5,778500.0,1.0,1,1,1,-17028,-6021,-3093,-558,2,14,10,0.4726541665151133,0.6311623541069148,0.6956219298394389,2141958.0,6.0,-878.0,-886.0,10844.28,10844.28,3.0,10844.28,94455.0,92488.5,9445.5,94455.0,6.0,8,-1060.0,8,1.0,365243.0,-1028.0,-750.0,0.0
79,193250,0,1,2,2.0,157500.0,1078200.0,38331.0,900000.0,1.0,1,1,1,-14925,-5386,-1071,-4011,2,15,11,0.4626812160379439,0.6449429070875095,0.31703177858344445,1234734.0,8.0,-1132.0,-1132.0,13087125.0,13087125.0,3.0,13087125.0,117373.5,117373.5,0.0,117373.5,7.0,1,-1374.0,5,2.0,365243.0,-1342.0,-1010.0,0.0
80,135244,0,1,2,1.0,90000.0,135000.0,13351.5,135000.0,2.0,1,1,1,-15380,-167,-2219,-4412,4,18,10,0.31484106469572964,0.6231500073303968,0.6109913280868294,1264627.0,1.0,-801.0,-809.0,8691.48,8691.48,3.0,8691.48,40815.0,47839.5,0.0,40815.0,6.0,3,-832.0,2,1.0,365243.0,-801.0,-649.0,0.0
88,214216,0,1,2,1.0,90000.0,232344.0,11992.5,157500.0,1.0,1,1,1,-14471,-6372,-5206,-5213,1,13,2,0.3581961425179013,0.4566220524842607,0.108924403541012,1735698.0,19.0,-1792.0,-1798.0,10332.18,10332.18,1.0,10332.18,135000.0,152820.0,0.0,135000.0,5.0,9,-2362.0,4,2.0,365243.0,-2332.0,-1639.0,1.0
96,132157,0,1,2,1.0,135000.0,755190.0,36328.5,675000.0,2.0,2,1,1,-12649,-435,-6584,-5228,6,17,3,0.4547887913408776,0.5424591624692978,0.5673792367572691,1540248.0,5.0,-1379.0,-1386.0,8678205.0,8678205.0,3.0,8678205.0,47511.0,42561.0,4950.0,47511.0,1.0,10,-1533.0,2,2.0,365243.0,-1499.0,-1337.0,0.0
97,260716,0,1,2,1.0,157500.0,1319346.0,47520.0,1165500.0,1.0,1,1,1,-16834,-5074,-5084,-389,1,11,4,0.39909850546611975,0.3474069821233893,0.3706496323299817,2568267.0,7.0,-639.0,-637.0,17114.22,17081.1,3.0,17114.22,131085.0,142618.5,0.0,131085.0,2.0,2,-853.0,8,1.0,365243.0,-819.0,-540.0,0.0
104,276666,0,1,2,1.0,180000.0,540000.0,26109.0,540000.0,1.0,1,1,3,-16194,-4285,-8840,-1226,1,15,7,0.5686625052184944,0.2402040351406799,0.2418614865234661,1689959.0,6.0,-2550.0,-2550.0,8741385.0,8741385.0,3.0,8741385.0,51705.0,55116.0,0.0,51705.0,2.0,3,-2731.0,0,2.0,365243.0,-2700.0,-2481.0,1.0
108,202371,0,1,1,3.0,202500.0,595759.5,43353.0,508500.0,1.0,2,1,1,-11477,-300,-3000,-3861,1,8,3,0.1810097980078262,0.5274399691400125,0.4294236843421945,1716124.0,5.0,-2631.0,-2639.0,30466.71,30466.71,3.0,30466.71,202823.19,198351.0,14201.19,202823.19,5.0,11,-2782.0,9,3.0,365243.0,-2751.0,-2563.0,1.0
117,170049,0,2,2,1.0,180000.0,405000.0,20250.0,405000.0,3.0,1,5,1,-21480,365243,-6161,-4911,3,14,6,0.6930039914190224,0.602278218777896,0.4740512892789932,2366377.0,5.0,-149.0,-149.0,9708.57,9708.57,3.0,9708.57,114749.55,132921.0,4.05,114749.55,5.0,4,-299.0,3,1.0,365243.0,-269.0,365243.0,1.0
121,187223,0,2,2,1.0,270000.0,720000.0,36000.0,720000.0,2.0,2,2,1,-23558,-11305,-4760,-3999,4,16,1,0.8205607044015959,0.7546208446652551,0.5316861425197883,2612806.0,10.0,-2255.0,-2264.0,9697995.0,9697995.0,3.0,9697995.0,197806.5,208111.5,20974.5,197806.5,3.0,4,-2556.0,4,4.0,365243.0,-2525.0,-1831.0,1.0
123,123796,0,1,2,2.0,225000.0,724630.5,48753.0,684000.0,2.0,1,1,1,-10212,-1549,-4095,-2897,2,11,3,0.6309584947633461,0.5730863243940937,0.39449540531239935,1106644.0,21.0,-252.0,-269.0,7819.65,7819.65,3.0,7819.65,145683.0,170680.5,0.0,145683.0,1.0,2,-883.0,4,4.0,365243.0,-852.0,-156.0,0.0
124,296219,0,2,1,1.0,180000.0,135000.0,6750.0,135000.0,1.0,2,1,1,-18070,-1839,-4389,-1621,2,8,3,0.6740532159195151,0.580686936821281,0.8038850611746273,1561561.0,2.0,-2740.0,-2748.0,3894435.0,3894435.0,3.0,3894435.0,27855.0,26932.5,2785.5,27855.0,7.0,12,-2802.0,10,3.0,365243.0,-2770.0,-2522.0,1.0
129,102988,0,1,2,1.0,112500.0,508495.5,22527.0,454500.0,3.0,2,1,1,-20041,365243,-4237,-3526,1,11,6,0.7009380856692135,0.6236890562867579,0.7610263695502636,1919627.0,2.0,-121.0,-135.0,9984285.0,9984285.0,3.0,9984285.0,95508.0,109377.0,0.0,95508.0,2.0,5,-181.0,5,4.0,365243.0,-151.0,365243.0,1.0
132,203466,0,1,2,1.0,180000.0,490495.5,47911.5,454500.0,1.0,1,1,1,-14798,-954,-7397,-4368,2,8,12,0.5414421814579817,0.6587231850818318,0.5046813193144684,1998263.0,10.0,-568.0,-599.0,16819515.0,16819515.0,3.0,16880175.0,171022.5,153918.0,17104.5,171022.5,6.0,5,-871.0,8,3.0,365243.0,-838.0,-562.0,0.0
138,287585,0,2,2,1.0,135000.0,270000.0,13500.0,270000.0,1.0,2,1,1,-10890,-731,-10809,-2988,4,19,13,0.7166695324612564,0.02870835470348548,0.5172965813614878,1336995.0,10.0,-60.0,-99.0,5735385.0,5735385.0,3.0,6128.91,116091.0,116091.0,0.0,116091.0,7.0,1,-361.0,4,3.0,365243.0,-330.0,365243.0,0.0
151,299741,1,1,2,3.0,180000.0,578979.0,24660.0,517500.0,1.0,1,2,1,-14004,-617,-6718,-5397,3,13,1,0.30045823344508715,0.6167148307258622,0.5709165417729987,2500595.0,1.0,-147.0,-177.0,2032.38,2032.38,3.0,2032.38,22377.6,20136.6,2241.0,22377.6,3.0,12,-210.0,5,1.0,365243.0,-147.0,365243.0,0.0
152,279231,0,1,2,1.0,157500.0,355536.0,18742.5,270000.0,1.0,1,2,1,-19057,-3913,-13020,-2512,4,8,3,0.5251586935069239,0.4747717347711582,0.2392262794694045,2538841.0,3.0,-1537.0,-1539.0,7780995.0,7780995.0,3.0,7780995.0,112473.0,103333.5,22500.0,112473.0,7.0,12,-1628.0,3,1.0,365243.0,-1597.0,-1145.0,0.0
153,215888,0,1,2,1.0,166500.0,1006920.0,42790.5,900000.0,1.0,1,5,3,-14969,-4386,-4229,-5789,1,13,2,0.4867091158912143,0.4458252421447032,0.7801436381572275,2607223.0,7.0,-1251.0,-1252.0,13065.66,13065.66,3.0,13065.66,151875.0,127345.5,36000.0,151875.0,2.0,4,-1462.0,5,1.0,365243.0,-1431.0,-1093.0,0.0
162,139128,0,1,2,1.0,135000.0,792162.0,40576.5,630000.0,1.0,1,1,1,-16151,-3421,-3056,-4927,2,12,5,0.4796500422681262,0.1539774899990625,0.19519840600440985,1910377.0,11.0,-467.0,-478.0,8064.99,8064.99,3.0,8064.99,114300.0,114300.0,0.0,114300.0,2.0,8,-798.0,3,1.0,365243.0,-767.0,-345.0,0.0
164,264503,0,1,2,1.0,45000.0,454500.0,13284.0,454500.0,3.0,1,2,1,-20909,365243,-2383,-4093,5,11,6,0.6933781039705174,0.6260930548981777,0.6380435278721609,1447018.0,1.0,-1846.0,-1858.0,2194155.0,2194155.0,3.0,2194155.0,72270.0,18315.0,55350.0,72270.0,3.0,0,-1878.0,8,1.0,365243.0,-1846.0,-1692.0,0.0
166,282029,1,1,2,2.0,202500.0,239850.0,28462.5,225000.0,1.0,1,4,1,-14204,-1288,-4732,-4732,2,13,4,0.4486064198520187,0.4478954096932484,0.5531646987710016,1605061.0,3.0,-16.0,-15.0,7782.57,7782.57,3.0,7782.57,76410.0,84478.5,0.0,76410.0,1.0,12,-106.0,5,4.0,365243.0,-76.0,365243.0,1.0
176,101813,0,1,2,1.0,382500.0,2159842.5,57105.0,1930500.0,3.0,2,1,3,-21234,365243,-8998,-3960,7,13,6,0.874444503104073,0.5917037169628492,0.6879328378491735,2050576.0,1.0,-527.0,-521.0,17976.42,16004.97,3.0,17976.42,103477.5,93127.5,10350.0,103477.5,2.0,8,-558.0,2,2.0,365243.0,-527.0,-371.0,0.0
183,272633,0,1,2,3.0,202500.0,314055.0,17167.5,238500.0,2.0,1,3,1,-10572,-707,-4597,-3239,1,15,3,0.5135526801352981,0.6483605582928585,0.375711009574066,2363084.0,1.0,-1985.0,-1999.0,7637.04,7637.04,3.0,7637.04,65196.0,60831.0,9000.0,65196.0,1.0,1,-2016.0,8,1.0,365243.0,-1985.0,-1709.0,0.0
193,148923,0,1,2,1.0,225000.0,675000.0,26901.0,675000.0,2.0,2,3,1,-19273,-1348,-1200,-2804,6,13,3,0.6323097526695166,0.4453120420353371,0.7992967832109371,2054083.0,1.0,-2715.0,-2715.0,26588.43,26588.43,3.0,26588.43,144342.0,93325.5,54000.0,144342.0,5.0,5,-2752.0,1,2.0,365243.0,-2715.0,-2617.0,1.0
194,100980,0,1,2,2.0,81000.0,81000.0,8851.5,81000.0,1.0,1,2,1,-10973,-505,-4455,-3524,7,10,14,0.4083825275154964,0.5012811342996352,0.8193176922872417,1248695.0,6.0,-338.0,-349.0,9746865.0,9746865.0,3.0,9746865.0,128340.0,148671.0,0.0,128340.0,6.0,5,-519.0,3,3.0,365243.0,-488.0,365243.0,0.0
198,294312,0,1,2,1.0,76500.0,785250.0,23089.5,562500.0,3.0,1,1,1,-21197,365243,-5995,-3755,5,13,6,0.642274263980676,0.7284432247482897,0.8016009030071296,1556238.0,7.0,-2220.0,-2228.0,4561515.0,4561515.0,3.0,4561515.0,27327.6,29128.5,3.6,27327.6,3.0,5,-2431.0,0,2.0,365243.0,-2400.0,-2182.0,1.0
206,197176,0,2,1,1.0,202500.0,180000.0,9000.0,180000.0,2.0,1,1,1,-13437,-343,-2113,-2240,3,12,3,0.31589267187978404,0.7335601095346542,0.4014074137749511,1783851.0,4.0,-677.0,-686.0,20179.62,20179.62,3.0,20179.62,103450.5,109309.5,10345.5,103450.5,3.0,13,-798.0,2,1.0,365243.0,-767.0,-612.0,0.0
212,248810,0,2,2,3.0,202500.0,202500.0,10125.0,202500.0,2.0,1,3,1,-15243,-1634,-5573,-4730,6,5,4,0.5373221939559537,0.4882502215810349,0.6706517530862718,1682421.0,3.0,-262.0,-269.0,4482.9,4482.9,3.0,5365035.0,48150.0,53235.0,0.0,48150.0,4.0,9,-352.0,5,1.0,365243.0,-322.0,365243.0,1.0
214,118131,0,1,2,1.0,135000.0,1113840.0,47322.0,900000.0,2.0,1,1,1,-11641,-1158,-11610,-2161,1,16,15,0.29952824097182584,0.6024301150515746,0.4614823912998385,1622742.0,5.0,-2390.0,-2404.0,3721.86,3721.86,3.0,3721.86,31050.0,27900.0,3150.0,31050.0,3.0,14,-2546.0,8,2.0,365243.0,-2510.0,-2234.0,0.0
215,123246,1,1,2,1.0,135000.0,450000.0,32877.0,450000.0,1.0,1,4,1,-15379,-219,-411,-4600,3,11,4,0.2986350747937853,0.4290855415669604,0.3344541255096772,2657725.0,8.0,-482.0,-525.0,8231265.0,8231265.0,3.0,8231265.0,159304.5,159304.5,0.0,159304.5,4.0,4,-727.0,4,3.0,365243.0,-692.0,-416.0,0.0
221,149457,0,2,2,1.0,360000.0,540000.0,27000.0,540000.0,1.0,2,1,1,-19962,-1786,-2214,-3500,5,15,16,0.8882388571029017,0.7250473384811166,0.7530673920730478,2354135.0,2.0,-2840.0,-2866.0,11169225.0,1.62,3.0,11169225.0,43560.0,39204.0,4356.0,43560.0,2.0,0,-2901.0,1,3.0,365243.0,-2870.0,-2588.0,0.0
224,191172,0,1,2,1.0,135000.0,662733.0,32013.0,535500.0,2.0,1,2,1,-13384,-381,-3715,-5569,6,11,17,0.8157010759024388,0.7274124832759085,0.4170996682522097,1679360.0,2.0,-90.0,-144.0,2939.04,2939.04,3.0,2939.04,32355.0,29119.5,3235.5,32355.0,3.0,6,-164.0,5,1.0,365243.0,-120.0,-55.0,0.0
242,222693,0,1,2,1.0,135000.0,518562.0,26604.0,463500.0,3.0,1,2,1,-19867,365243,-7930,-86,4,7,6,0.6508789890953177,0.17193326236807752,0.4686596550493113,1102153.0,19.0,-580.0,-602.0,6596325.0,6596325.0,3.0,11824.92,195223.5,228721.5,0.0,195223.5,1.0,12,-1151.0,4,3.0,365243.0,-1120.0,-424.0,0.0
246,224834,0,1,1,1.0,135000.0,526491.0,22261.5,454500.0,1.0,3,3,1,-8375,-979,-3469,-1039,6,19,3,0.1507770040730292,0.521064291004838,0.2366108235287817,1091948.0,21.0,-30.0,-30.0,4295.34,4295.34,3.0,4295.34,95348925.0,95346.0,2925.0,95348925.0,3.0,14,-661.0,4,4.0,365243.0,-630.0,365243.0,0.0
249,134709,0,1,1,1.0,135000.0,112500.0,11943.0,112500.0,1.0,1,2,1,-15825,-5625,-8319,-4631,1,13,7,0.5622943560260376,0.7819662673030241,0.6479768603302221,2599803.0,12.0,-801.0,-813.0,11164455.0,11164455.0,3.0,11319.75,112455.0,111892.5,11250.0,112455.0,2.0,12,-1162.0,5,1.0,365243.0,-1131.0,-791.0,0.0
251,121480,1,1,1,1.0,157500.0,675000.0,24930.0,675000.0,1.0,4,3,1,-20945,-430,-13258,-4256,2,8,3,0.5691481166611687,0.15783350992871995,0.221335206354466,2242840.0,5.0,-183.0,-193.0,5001435.0,5001435.0,3.0,5001435.0,91660.5,111019.5,0.0,91660.5,4.0,11,-334.0,4,4.0,365243.0,-303.0,365243.0,0.0
261,186293,0,2,1,2.0,157500.0,270000.0,13500.0,270000.0,1.0,1,1,1,-18430,-5089,-50,-1870,4,8,8,0.66551974691522,0.05226148902628385,0.8224987619370829,1693911.0,1.0,-288.0,-311.0,8586.18,8586.18,3.0,8586.18,75595815.0,75595815.0,0.0,75595815.0,2.0,0,-324.0,8,3.0,365243.0,-288.0,-11.0,0.0
267,187702,0,1,1,1.0,360000.0,810000.0,54351.0,810000.0,2.0,1,2,1,-11105,-1733,-5988,-2900,3,10,3,0.3674386356845611,0.6548536892378126,0.5226973172821112,1266743.0,1.0,-1707.0,-1723.0,4468.68,4468.68,3.0,4468.68,31320.0,35676.0,3132.0,31320.0,3.0,3,-1738.0,5,2.0,365243.0,-1707.0,-1615.0,0.0
272,298820,0,1,1,1.0,112500.0,481176.0,20385.0,360000.0,3.0,1,1,1,-21758,365243,-7132,-4742,1,13,6,0.5477055410680596,0.5484663289328989,0.6006575372857061,1801096.0,3.0,-1047.0,-1096.0,5712.75,5712.75,3.0,5712.75,52663.5,61956.0,0.0,52663.5,4.0,2,-1138.0,5,4.0,365243.0,-1107.0,-925.0,0.0
275,162207,0,1,2,2.0,189000.0,790434.0,33619.5,706500.0,1.0,1,3,1,-16807,-522,-2495,-357,4,14,18,0.7266842949199122,0.6375278638806194,0.5316861425197883,1392843.0,5.0,-999.0,-1001.0,6404.76,6404.76,3.0,6404.76,53991.0,59692.5,0.0,53991.0,2.0,2,-1150.0,5,1.0,365243.0,-1119.0,-963.0,0.0
279,101154,0,1,2,1.0,144000.0,517536.0,28206.0,432000.0,3.0,1,1,1,-21027,365243,-12357,-4466,5,10,6,0.8485659792549478,0.6754460315203664,0.6246146584503397,1489082.0,2.0,-2279.0,-2303.0,2257.47,2257.47,3.0,2257.47,19035.0,18828.0,1903.5,19035.0,3.0,5,-2340.0,5,2.0,365243.0,-2309.0,-1972.0,0.0
280,233667,0,1,1,2.0,180000.0,770292.0,30676.5,688500.0,1.0,1,1,1,-13664,-853,-1355,-3938,6,14,3,0.7151900033825359,0.7403844478657494,0.6674577419214722,2798305.0,3.0,-476.0,-523.0,11762775.0,11762775.0,3.0,11762775.0,114736.5,114736.5,0.0,114736.5,6.0,8,-567.0,5,1.0,365243.0,-536.0,-412.0,0.0
282,224497,0,1,2,1.0,67500.0,360000.0,17316.0,360000.0,1.0,2,1,1,-11752,-2905,-1427,-1977,5,11,2,0.5668598268557851,0.4657399484710892,0.2471909382666521,2306584.0,3.0,-2792.0,-2792.0,4683735.0,4683735.0,3.0,4683735.0,46800.0,42120.0,4680.0,46800.0,6.0,11,-2892.0,5,2.0,365243.0,-2852.0,-2513.0,0.0
284,127799,0,1,2,1.0,67500.0,343800.0,13090.5,225000.0,1.0,1,1,1,-10829,-3516,-1719,-2581,2,6,1,0.5249272384201393,0.689204526210503,0.5082869913916046,1446951.0,4.0,-1699.0,-1705.0,4398.57,4398.57,3.0,4398.57,26730.0,29983.5,2700.0,26730.0,2.0,15,-1820.0,8,2.0,365243.0,-1789.0,-1514.0,0.0
287,295889,0,1,2,1.0,157500.0,1125171.0,47803.5,1035000.0,1.0,2,2,1,-14802,-419,-6598,-4849,2,12,12,0.5747876812921183,0.7900173423765676,0.4632753280912678,2318725.0,10.0,-2184.0,-2175.0,5759325.0,5746725.0,3.0,5759325.0,44905.5,49351.5,0.0,44905.5,2.0,3,-2485.0,5,2.0,365243.0,-2454.0,-2109.0,1.0
288,243424,0,1,1,1.0,135000.0,392427.0,26352.0,324000.0,2.0,1,2,2,-10091,-1404,-4063,-2752,6,11,3,0.19095771169814726,0.6456886704890787,0.3344541255096772,2762088.0,2.0,-1979.0,-2020.0,6476.22,3.78,3.0,6476.22,48735.0,47479.5,4873.5,48735.0,7.0,1,-2043.0,8,2.0,365243.0,-2009.0,-1735.0,0.0
300,208343,0,1,2,1.0,112500.0,463284.0,16771.5,382500.0,3.0,2,1,1,-14290,365243,-8389,-4355,5,9,6,0.4817838125453743,0.017706988848812576,0.5316861425197883,2682789.0,5.0,-272.0,-319.0,6745.68,6745.68,3.0,6745.68,72270.0,72270.0,0.0,72270.0,5.0,15,-455.0,5,3.0,365243.0,-392.0,-89.0,0.0
